setup_id,symbol,entry_time,side,exit_reason,net_r,bars_held,mfe_r,mae_r,atr,adx,bias_direction,bias_strength,state_confirmations,trigger_pattern,entry_price,stop_price,target_price
dcd9337c-b42,VEDL.NS,"2026-04-28 09:15:00",SELL,stop,-1.71,3,0.8,-1.0,3.74,22.1,short,2,4,bearish_engulfing,735.0,742.49,723.77
37f0a7ab-674,WIPRO.NS,"2026-03-20 10:30:00",BUY,stop,-1.73,7,0.14,-1.0,0.92,39.6,long,2,3,hammer,191.28,189.44,194.04
20bc1645-9e9,HCLTECH.NS,"2026-04-15 12:45:00",SELL,stop,-1.74,8,0.21,-1.0,6.92,32.6,short,2,3,bearish_engulfing,1440.1,1453.93,1419.35
fc0c10c5-343,COALINDIA.NS,"2026-03-12 09:15:00",SELL,stop,-1.75,4,0.02,-1.0,2.11,36.3,short,2,4,shooting_star,447.1,451.31,440.78
8a6c416c-a66,HINDALCO.NS,"2026-04-10 09:30:00",SELL,stop,-1.76,4,0.13,-1.0,4.55,42.9,short,2,3,shooting_star,979.85,988.94,966.21
8ffe064a-5d8,VBL.NS,"2026-03-11 09:15:00",SELL,stop,-1.77,1,0.08,-1.0,1.95,25.9,short,2,4,bearish_engulfing,435.65,439.55,429.79
806d271b-29c,TCS.NS,"2026-03-20 10:15:00",BUY,stop,-1.77,9,0.08,-1.0,10.8,39.8,long,2,3,bullish_engulfing,2386.0,2364.4,2418.4
3481f547-022,BANKBARODA.NS,"2026-04-16 10:00:00",BUY,stop,-1.78,7,0.23,-1.0,1.23,28.9,long,1,3,bullish_engulfing,280.63,278.17,284.32
9daa7757-00a,KOTAKBANK.NS,"2026-04-30 10:30:00",BUY,stop,-1.78,6,0.18,-1.0,1.68,22.1,long,1,3,bullish_engulfing,381.3,377.93,386.35
9f0d732c-4b8,TCS.NS,"2026-03-27 09:30:00",BUY,stop,-1.79,20,0.45,-1.0,10.51,24.5,long,2,3,hammer,2412.5,2391.47,2444.04
a6ea8dd1-87f,HCLTECH.NS,"2026-04-30 13:15:00",BUY,eod,-1.79,7,0.87,-1.0,4.06,25.1,long,2,3,hammer,1206.6,1198.48,1218.78
f6c7b57e-274,POWERGRID.NS,"2026-03-11 13:15:00",BUY,stop,-1.87,5,0.2,-1.0,1.15,29.7,long,1,3,bullish_engulfing,301.15,298.86,304.59
7cc1247d-c7b,BANKBARODA.NS,"2026-04-29 12:00:00",BUY,stop,-1.87,8,0.36,-1.0,1.02,21.3,long,2,3,hammer,271.07,269.03,274.13
e21c2e0e-9b6,NTPC.NS,"2026-03-27 09:15:00",BUY,stop,-1.88,6,0.28,-1.0,1.41,21.2,long,1,3,hammer,378.45,375.64,382.67
04e8c2e8-4a3,ITC.NS,"2026-04-02 11:00:00",SELL,stop,-1.88,6,0.32,-1.0,1.09,25.5,short,2,3,bearish_engulfing,289.5,291.69,286.22
dac10722-f01,SUNPHARMA.NS,"2026-04-29 09:15:00",SELL,stop,-1.88,20,0.61,-1.0,6.65,23.8,short,1,3,shooting_star,1758.7,1772.0,1738.75
2ae76ac4-427,WIPRO.NS,"2026-04-09 09:45:00",SELL,stop,-1.89,7,0.13,-1.0,0.75,40.7,short,2,3,shooting_star,202.24,203.75,199.98
9de23ea1-042,AXISBANK.NS,"2026-04-23 13:00:00",BUY,stop,-1.91,6,0.39,-1.0,4.95,28.5,long,2,3,hammer,1378.9,1369.0,1393.76
0ef06ce4-eb3,SBIN.NS,"2026-04-29 09:15:00",SELL,stop,-1.93,4,0.46,-1.0,3.88,26.0,short,1,3,shooting_star,1092.25,1100.02,1080.6
b0ec8f51-f89,RELIANCE.NS,"2026-04-16 10:00:00",SELL,stop,-1.98,19,0.45,-1.0,4.41,35.2,short,2,4,shooting_star,1334.0,1342.82,1320.77
987429f4-278,UPL.NS,"2026-03-16 10:30:00",SELL,gap_stop,-2.0,6,0.6,-1.0,3.89,28.5,short,1,3,shooting_star,607.15,614.94,595.47
56b95916-804,INDHOTEL.NS,"2026-03-11 09:15:00",BUY,gap_stop,-2.41,2,0.17,-1.0,2.78,42.6,long,1,3,hammer,626.95,621.39,635.29
54cc1667-698,BAJFINANCE.NS,"2026-04-20 09:30:00",SELL,eod,-2.62,3,0.2,-1.0,3.59,22.4,short,1,3,bearish_engulfing,905.2,912.37,894.44
11ee8eed-e13,KALYANKJIL.NS,"2026-03-16 11:30:00",SELL,gap_stop,-2.68,23,0.23,-1.0,2.78,28.8,short,2,3,bearish_engulfing,375.25,380.82,366.9
