setup_id,symbol,entry_time,side,exit_reason,net_r,bars_held,mfe_r,mae_r,atr,adx,bias_direction,bias_strength,state_confirmations,trigger_pattern,entry_price,stop_price,target_price
9a55831b-642,HINDALCO.NS,"2026-04-17 14:00:00",BUY,eod,-0.58,4,0.28,-0.27,3.75,20.1,long,2,4,bullish_engulfing,1038.0,1030.5,1049.24
1be397fb-020,SUNPHARMA.NS,"2026-03-06 14:45:00",BUY,eod,-0.59,1,0.15,-0.1,6.05,22.8,long,1,3,hammer,1800.2,1788.1,1818.36
0ba5a8f1-8f1,COALINDIA.NS,"2026-04-27 11:15:00",SELL,eod,-0.59,15,0.27,-0.74,1.92,35.6,short,2,3,shooting_star,452.15,455.98,446.4
b520825a-161,DLF.NS,"2026-04-10 10:00:00",BUY,eod,-0.62,20,0.92,-0.67,3.32,22.0,long,2,4,hammer,569.85,563.22,579.8
f6010b50-c50,BPCL.NS,"2026-04-10 10:00:00",BUY,eod,-0.63,20,0.52,-0.54,1.63,21.9,long,2,3,hammer,299.6,296.35,304.48
7f8e1c2c-238,WIPRO.NS,"2026-04-21 12:00:00",BUY,eod,-0.63,12,0.22,-0.53,0.85,25.9,long,2,3,hammer,204.97,203.27,207.52
60ba04b7-e9b,RELIANCE.NS,"2026-03-10 09:30:00",BUY,eod,-0.65,22,0.59,-0.3,8.51,21.6,long,2,3,hammer,1410.9,1393.88,1436.43
79250155-39f,HINDALCO.NS,"2026-03-27 10:15:00",BUY,eod,-0.66,19,0.62,-0.21,4.3,34.4,long,1,3,bullish_engulfing,867.45,858.86,880.34
1a976542-79d,INDUSINDBK.NS,"2026-03-24 14:30:00",BUY,eod,-0.69,2,0.34,-0.25,4.95,27.4,long,2,3,hammer,797.5,787.6,812.34
d11221b0-7c7,POWERGRID.NS,"2026-03-24 14:45:00",BUY,eod,-0.69,1,0.03,-0.56,1.66,31.2,long,2,3,bullish_engulfing,300.1,296.78,305.07
26f0a01e-673,BPCL.NS,"2026-04-09 12:45:00",BUY,eod,-0.7,9,0.16,-0.57,1.59,29.8,long,1,3,hammer,298.2,295.02,302.96
2ece2811-6cd,SBIN.NS,"2026-03-12 13:15:00",BUY,trail_stop,-0.71,1,1.03,-0.04,5.44,40.5,long,2,3,bullish_engulfing,1086.8,1075.92,1103.12
b9a688d6-9a7,SAIL.NS,"2026-04-23 12:15:00",SELL,eod,-0.73,11,0.48,-0.83,0.93,24.7,short,2,4,bearish_engulfing,174.84,176.71,172.04
7aa4ece5-973,AXISBANK.NS,"2026-04-23 14:45:00",SELL,eod,-0.74,1,0.23,-0.23,4.87,25.7,short,2,3,shooting_star,1369.6,1379.34,1354.99
c22db7ab-b4a,VBL.NS,"2026-03-16 10:15:00",SELL,eod,-0.75,19,0.53,-0.53,3.46,30.3,short,1,3,bearish_engulfing,406.0,412.93,395.61
a07efbaf-6ee,HINDALCO.NS,"2026-04-24 14:00:00",BUY,eod,-0.77,4,0.88,-0.27,3.92,23.0,long,2,3,hammer,1047.1,1039.26,1058.86
1ab995eb-209,M&M.NS,"2026-04-30 14:30:00",BUY,eod,-0.79,2,0.09,-0.43,14.27,29.9,long,2,4,bullish_engulfing,3104.1,3075.57,3146.9
46466295-4e4,RELIANCE.NS,"2026-03-16 09:45:00",SELL,trail_stop,-0.8,6,1.36,-0.2,5.86,38.2,short,1,3,bearish_engulfing,1379.5,1391.22,1361.91
d4f8164a-76b,RELIANCE.NS,"2026-04-20 09:15:00",BUY,eod,-0.8,4,0.09,-0.99,4.28,35.1,long,1,3,hammer,1364.2,1355.64,1377.04
6ff407bd-9db,HDFCBANK.NS,"2026-03-13 14:45:00",SELL,eod,-0.81,1,0.2,-0.21,2.86,35.9,short,1,3,bearish_engulfing,817.15,822.88,808.56
b597de9a-f04,UNIONBANK.NS,"2026-03-24 13:00:00",BUY,eod,-0.81,8,0.37,-0.47,1.25,25.1,long,2,3,hammer,174.42,171.93,178.16
3d416ad1-7eb,NYKAA.NS,"2026-04-07 10:45:00",SELL,eod,-0.81,17,0.35,-0.39,1.84,35.0,short,2,3,bearish_engulfing,246.9,250.57,241.39
44d383c4-e0c,KOTAKBANK.NS,"2026-03-25 12:15:00",SELL,eod,-0.82,11,0.97,-0.78,2.93,33.7,short,2,3,bearish_engulfing,368.9,374.77,360.1
e06a8b5c-546,KOTAKBANK.NS,"2026-03-11 14:00:00",SELL,eod,-0.83,4,0.51,-0.18,1.41,27.3,short,1,3,bearish_engulfing,385.2,388.03,380.96
326c556e-7ce,M&M.NS,"2026-03-20 12:15:00",SELL,eod,-0.84,11,0.21,-0.69,17.13,34.8,short,1,3,bearish_engulfing,3055.5,3089.77,3004.1
f6bde20e-645,ONGC.NS,"2026-04-20 09:30:00",SELL,eod,-0.85,3,0.27,-0.45,0.94,24.4,short,2,3,bearish_engulfing,283.2,285.08,280.39
9fbe0dd3-078,ONGC.NS,"2026-04-15 14:00:00",SELL,eod,-0.86,4,0.31,-0.41,1.05,24.3,short,2,3,bearish_engulfing,287.15,289.24,284.01
e42a5d12-3b7,TCS.NS,"2026-04-28 09:30:00",BUY,trail_stop,-0.89,9,1.44,-0.18,9.34,24.6,long,2,3,hammer,2458.9,2440.21,2486.93
5952d155-86f,SUNPHARMA.NS,"2026-03-10 10:00:00",BUY,eod,-0.92,13,0.22,-0.86,7.42,34.8,long,2,3,hammer,1817.7,1802.86,1839.96
a585564c-250,BPCL.NS,"2026-04-30 14:45:00",BUY,eod,-0.96,1,0.02,-0.86,1.22,23.7,long,2,3,hammer,301.75,299.32,305.4
